CRASH ID,LATITUDE,LONGITUDE,YEAR,SEVERITY
NCR - 00000001,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000002,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000003,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000004,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000005,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000006,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000007,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000008,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000009,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000010,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000011,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000012,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000013,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000014,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000015,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000016,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000017,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000018,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000019,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000020,14.6514° N,120.9902° E,2014,FATAL
NCR - 00000021,14.6514° N,120.9902° E,2014,FATAL
