LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6546,120.9839,36,888,2935,3859
14.4506,120.9828,15,751,2473,3239
14.5547,121.0244,14,1004,11487,12505
14.6628,120.9567,14,432,674,1120
14.5794,121.0359,1,503,5219,5723
14.5995,120.9842,66,1148,10093,11307
14.6507,121.1029,16,1167,3530,4713
14.4133,121.0456,14,968,2907,3889
14.6500,120.9417,9,212,550,771
14.4972,121.0195,37,1041,4286,5364
14.5378,121.0014,13,723,4962,5698
14.5755,121.0855,23,1179,7157,8359
14.5417,121.0686,0,9,26,35
14.6760,121.0437,116,4755,28846,33717
14.6019,121.0355,6,250,1569,1825
14.5176,121.0509,21,591,4773,5385
14.7002,120.9836,25,795,993,1813
14.6042,121.0182,426,16416,92480,109322


