LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6546,120.9839,31,851,3288,4170
14.4506,120.9828,11,653,2691,3355
14.5547,121.0244,18,727,10680,11425
14.6628,120.9567,13,421,784,1218
14.5794,121.0359,7,553,4925,5485
14.5995,120.9842,53,1263,9999,11315
14.6507,121.1029,14,1158,3446,4618
14.4133,121.0456,13,800,3316,4129
14.6500,120.9417,6,381,641,1028
14.4972,121.0195,41,992,4149,5182
14.5378,121.0014,14,699,5099,5812
14.5755,121.0855,23,681,6721,7425
14.5417,121.0686,1,1,2,4
14.6760,121.0437,132,4729,30633,35494
14.6019,121.0355,2,225,1582,1809
14.5176,121.0509,15,626,5116,5757
14.7002,120.9836,29,745,1025,1799
14.6042,121.0182,423,15505,94097,110025
