LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6760,121.0437,17,494,0,511
14.5794,121.0359,0,86,0,86
14.6507,121.1029,1,127,0,128
14.5755,121.0855,2,108,0,110
14.6019,121.0355,0,13,0,13
14.6546,120.9839,2,144,0,146
14.6628,120.9567,2,54,0,56
14.6500,120.9417,0,16,0,16
14.7002,120.9836,3,118,0,121
14.4506,120.9828,3,160,0,163
14.5547,121.0244,7,107,0,114
14.4133,121.0456,3,140,0,143
14.4972,121.0195,7,126,0,133
14.5378,121.0014,4,75,0,79
14.5417,121.0686,1,19,0,20
14.5176,121.0509,2,116,0,118
14.5995,120.9842,20,201,0,221
14.6042,121.0182,74,2104,0,2178


