LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6760,121.0437,38,810,0,848
14.5794,121.0359,2,132,0,134
14.6507,121.1029,4,180,0,184
14.5755,121.0855,2,168,0,170
14.6019,121.0355,0,10,0,10
14.6546,120.9839,4,145,0,149
14.6628,120.9567,3,33,0,36
14.6500,120.9417,0,8,0,8
14.7002,120.9836,6,137,0,143
14.4506,120.9828,3,239,0,242
14.5547,121.0244,5,194,0,199
14.4133,121.0456,9,142,0,151
14.4972,121.0195,5,181,0,186
14.5378,121.0014,8,93,0,101
14.5417,121.0686,0,9,0,9
14.5176,121.0509,4,236,0,240
14.5995,120.9842,28,323,0,351
14.6042,121.0182,121,3040,0,3161

