LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6546,120.9839,0,0,0,0
14.4506,120.9828,0,0,0,0
14.5547,121.0244,0,0,0,0
14.6628,120.9567,0,0,0,0
14.5794,121.0359,0,0,0,0
14.5995,120.9842,0,0,0,0
14.6507,121.1029,0,0,0,0
14.4133,121.0456,0,0,0,0
14.6500,120.9417,0,0,0,0
14.4972,121.0195,0,0,0,0
14.5378,121.0014,0,0,0,0
14.5755,121.0855,0,0,0,0
14.5417,121.0686,0,0,0,0
14.6760,121.0437,0,0,0,0
14.6019,121.0355,0,0,0,0
14.5176,121.0509,0,0,0,0
14.7002,120.9836,0,0,0,0
14.6042,121.0182,0,0,0,0

