LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6546,120.9839,21,1149,2341,3511
14.4506,120.9828,14,1011,2337,3362
14.5547,121.0244,17,1018,7825,8860
14.6628,120.9567,5,423,536,964
14.5794,121.0359,11,540,3540,4091
14.5995,120.9842,78,1329,8577,9984
14.6507,121.1029,17,577,1537,2131
14.4133,121.0456,10,937,2518,3465
14.6500,120.9417,9,299,513,821
14.4972,121.0195,33,1172,3752,4957
14.5378,121.0014,9,627,3460,4096
14.5755,121.0855,16,879,6840,7735
14.5417,121.0686,0,20,40,60
14.6760,121.0437,118,4488,22285,26891
14.6019,121.0355,0,270,1417,1687
14.5176,121.0509,34,846,3975,4855
14.7002,120.9836,26,1080,1682,2788
14.6042,121.0182,418,16665,73175,90258


