LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6760,121.0437,34,441,0,475
14.5794,121.0359,2,71,0,73
14.6507,121.1029,3,121,0,124
14.5755,121.0855,4,95,0,99
14.6019,121.0355,0,12,0,12
14.6546,120.9839,7,114,0,121
14.6628,120.9567,1,46,0,47
14.6500,120.9417,2,8,0,10
14.7002,120.9836,5,95,0,100
14.4506,120.9828,2,182,0,184
14.5547,121.0244,6,114,0,120
14.4133,121.0456,3,128,0,131
14.4972,121.0195,7,147,0,154
14.5378,121.0014,7,84,0,91
14.5417,121.0686,0,16,0,16
14.5176,121.0509,2,176,0,178
14.5995,120.9842,19,168,0,187
14.6042,121.0182,104,2018,0,2122

