LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6546,120.9839,43,1130,2933,4106
14.4506,120.9828,24,1035,2357,3416
14.5547,121.0244,19,969,9185,10173
14.6628,120.9567,5,418,672,1095
14.5794,121.0359,7,500,3715,4222
14.5995,120.9842,83,1338,9680,11101
14.6507,121.1029,26,985,2596,3607
14.4133,121.0456,21,966,2807,3794
14.6500,120.9417,12,211,507,730
14.4972,121.0195,26,1183,3730,4939
14.5378,121.0014,10,712,4236,4958
14.5755,121.0855,23,1375,6199,7597
14.5417,121.0686,0,4,27,31
14.6760,121.0437,146,4466,22917,27529
14.6019,121.0355,2,266,1336,1604
14.5176,121.0509,39,823,4039,4901
14.7002,120.9836,33,722,1057,1812
14.6042,121.0182,519,17103,77993,95615

