LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6546,120.9839,37,1092,2605,3734
14.4506,120.9828,9,733,2594,3336
14.5547,121.0244,23,968,7323,8314
14.6628,120.9567,4,384,606,994
14.5794,121.0359,8,422,3124,3554
14.5995,120.9842,56,988,7529,8573
14.6507,121.1029,17,1005,2169,3191
14.4133,121.0456,13,996,2386,3395
14.6500,120.9417,6,351,521,878
14.4972,121.0195,25,991,3279,4295
14.5378,121.0014,15,583,3610,4208
14.5755,121.0855,13,945,5526,6484
14.5417,121.0686,0,0,10,10
14.6760,121.0437,141,5154,21346,26641
14.6019,121.0355,1,119,1255,1375
14.5176,121.0509,25,917,4030,4972
14.7002,120.9836,18,1092,1501,2611
14.6042,121.0182,411,16740,69414,86565
