LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6546,120.9839,16,1035,731,1782
14.4506,120.9828,10,952,625,1587
14.5547,121.0244,12,756,1510,2278
14.6628,120.9567,3,358,143,504
14.5794,121.0359,6,491,837,1334
14.5995,120.9842,15,1293,1366,2674
14.6507,121.1029,13,1012,720,1745
14.4133,121.0456,6,651,556,1213
14.6500,120.9417,7,215,80,302
14.4972,121.0195,19,897,1025,1941
14.5378,121.0014,6,631,554,1191
14.5755,121.0855,11,716,1409,2136
14.5417,121.0686,0,16,60,76
14.6760,121.0437,69,4427,4957,9453
14.6019,121.0355,2,181,205,388
14.5176,121.0509,9,568,1416,1993
14.7002,120.9836,17,492,173,682
14.6042,121.0182,221,14691,16367,31279

